1:2350000:2725000	1:2762500:3656250
1:36947500:37895000	1:37900000:38177500
1:37900000:38177500	1:38497500:39305000
1:38497500:39305000	1:39310000:39522500
1:39310000:39522500	1:39532500:39752500
1:39532500:39752500	1:39762500:40027500
1:39762500:40027500	1:40032500:40227500
1:40032500:40227500	1:40257500:40460000
1:40257500:40460000	1:40487500:41027500
1:40487500:41027500	1:41032500:41505000
1:41032500:41505000	1:41702500:41897500
1:41702500:41897500	1:41907500:42642500
1:41907500:42642500	1:42647500:43230000
1:42647500:43230000	1:43235000:43360000
1:43235000:43360000	1:43365000:43645000
1:43365000:43645000	1:43650000:43955000
1:43650000:43955000	1:44190000:44468750
1:44190000:44468750	1:45140000:45440625
1:45140000:45440625	1:45446875:45815000
1:45446875:45815000	1:46476250:46698750
1:46476250:46698750	1:46850000:47282500
1:46850000:47282500	1:47865000:48285000
1:47865000:48285000	1:48537500:48747500
1:48537500:48747500	1:50810000:51087500
1:50810000:51087500	1:51207500:51810000
1:51207500:51810000	1:51815000:52312500
1:51815000:52312500	1:52802500:53342500
1:52802500:53342500	1:54285000:54432500
1:54285000:54432500	1:55497500:55815000
1:55497500:55815000	1:57180000:58835000
1:57180000:58835000	1:58945000:59130000
1:58945000:59130000	1:59135000:60390000
1:59135000:60390000	1:60600000:61212500
1:60600000:61212500	1:61335000:62168125
1:61335000:62168125	1:62191250:62547500
1:62191250:62547500	1:62624375:62882500
1:62624375:62882500	1:62887500:63272500
1:62887500:63272500	1:63287500:63777500
1:63287500:63777500	1:64067500:64722500
1:64067500:64722500	1:64857500:65137500
1:64857500:65137500	1:65142500:65295000
1:65142500:65295000	1:65300000:65585000
1:65300000:65585000	1:65682500:66217500
1:65682500:66217500	1:67180000:67680000
1:67180000:67680000	1:67705000:67992500
1:67705000:67992500	1:67997500:68307500
1:67997500:68307500	1:69050000:70330000
1:69050000:70330000	1:70562500:71022500
1:70562500:71022500	1:71027500:71630000
1:71027500:71630000	1:74252500:75372500
1:74252500:75372500	1:76310000:76837500
1:76310000:76837500	1:76855000:77595000
1:76855000:77595000	1:77600000:78189375
1:77600000:78189375	1:78595000:79220000
1:78595000:79220000	1:81077500:81312500
1:81077500:81312500	1:83740625:84325000
1:83740625:84325000	1:84330000:84890000
1:84330000:84890000	1:84895000:85410000
1:84895000:85410000	1:85772500:86290000
1:85772500:86290000	1:87267500:87610000
1:87267500:87610000	1:87767500:89081250
1:87767500:89081250	1:89090000:89350000
1:89090000:89350000	1:89355000:89932500
1:89355000:89932500	1:89937500:90522500
1:89937500:90522500	1:90892500:91327500
1:90892500:91327500	1:91361875:91730000
1:91361875:91730000	1:91852500:92427500
1:91852500:92427500	1:92437500:92752500
1:92437500:92752500	1:92757500:93230000
1:92757500:93230000	1:93277500:93760000
1:93277500:93760000	1:94062500:94407500
1:94062500:94407500	1:94412500:94972500
1:94412500:94972500	1:96292500:96752500
1:96292500:96752500	1:97112500:97315000
1:97112500:97315000	1:97390000:98667500
1:97390000:98667500	1:99067500:100197500
1:99067500:100197500	1:100207500:100622500
1:100207500:100622500	1:100667500:101007500
1:100667500:101007500	1:101022500:101352500
1:101022500:101352500	1:101357500:102087500
1:101357500:102087500	1:104270000:106797500
1:104270000:106797500	1:107542500:107751250
1:107542500:107751250	1:108237500:108783750
1:108237500:108783750	1:109740000:109957500
1:109740000:109957500	1:110640000:110862500
1:110640000:110862500	1:110867500:111042500
1:110867500:111042500	1:111047500:111327500
1:111047500:111327500	1:111380000:111572500
1:111380000:111572500	1:111605000:111992500
1:111605000:111992500	1:112022500:112362500
1:112022500:112362500	1:112380000:112825000
1:112380000:112825000	1:112912500:113257500
1:112912500:113257500	1:113360000:113620000
1:113360000:113620000	1:113628750:114257500
1:113628750:114257500	1:114262500:114525000
1:114262500:114525000	1:114530000:114880000
1:114530000:114880000	1:114937500:115392500
1:114937500:115392500	1:115480000:115670000
1:115480000:115670000	1:115675000:116207500
1:115675000:116207500	1:116327500:116610000
1:116327500:116610000	1:116630000:117112500
1:116630000:117112500	1:117165000:117677500
1:117165000:117677500	1:117682500:118032500
1:117682500:118032500	1:118037500:118570000
1:118037500:118570000	1:118575000:120735000
1:118575000:120735000	1:144400000:145273125
1:144400000:145273125	1:145341250:145896875
1:145341250:145896875	1:146722500:148133750
1:146722500:148133750	1:149235000:150205000
1:149235000:150205000	1:150215000:150982500
1:150215000:150982500	1:151385000:151845000
1:151385000:151845000	1:151850000:152022500
1:151850000:152022500	1:152027500:152160625
1:152027500:152160625	1:152171875:152477500
1:152171875:152477500	1:152522500:153312500
1:152522500:153312500	1:153546250:153967500
1:153546250:153967500	1:153982500:154265000
1:153982500:154265000	1:154388125:154902500
1:154388125:154902500	1:154917500:155158750
1:154917500:155158750	1:156034375:156317500
1:156034375:156317500	1:156417500:156638750
1:156417500:156638750	1:157037500:157141875
1:157037500:157141875	1:157150625:157503125
1:157150625:157503125	1:159087500:159732500
1:159087500:159732500	1:159737500:159995000
1:159737500:159995000	1:160148750:160240000
1:160148750:160240000	1:160277500:160597500
1:160277500:160597500	1:160677500:160997500
1:160677500:160997500	1:161158750:161416875
1:161158750:161416875	1:161435625:161727500
1:161435625:161727500	1:161732500:162037500
1:161732500:162037500	1:162050000:162437500
1:162050000:162437500	1:162785000:163342500
1:162785000:163342500	1:165250000:165570000
1:165250000:165570000	1:165575000:165996250
1:165575000:165996250	1:167187500:167562500
1:167187500:167562500	1:168135000:168552500
1:168135000:168552500	1:168557500:169345000
1:168557500:169345000	1:169492500:169880000
1:169492500:169880000	1:170107500:171327500
1:170107500:171327500	1:171377500:171562500
1:171377500:171562500	1:171962500:172505000
1:171962500:172505000	1:172517500:172707500
1:172517500:172707500	1:172712500:173377500
1:172712500:173377500	1:173942500:174212500
1:173942500:174212500	1:174217500:174722500
1:174217500:174722500	1:174727500:174997500
1:174727500:174997500	1:175092500:175327500
1:175092500:175327500	1:175895000:176362500
1:175895000:176362500	1:178420000:178987500
1:178420000:178987500	1:179035000:179417500
1:179035000:179417500	1:179652500:179782500
1:179652500:179782500	1:179787500:180185000
1:179787500:180185000	1:180190000:180452500
1:180190000:180452500	1:180462500:180905000
1:180462500:180905000	1:180982500:181147500
1:180982500:181147500	1:181152500:181407500
1:181152500:181407500	1:181420000:182042500
1:181420000:182042500	1:182075000:182475000
1:182075000:182475000	1:182520000:182890000
1:182520000:182890000	1:182895000:183245000
1:182895000:183245000	1:183367500:183583750
1:183367500:183583750	1:183591250:183905000
1:183591250:183905000	1:184287500:184642500
1:184287500:184642500	1:184647500:185002500
1:184647500:185002500	1:185132500:185732500
1:185132500:185732500	1:186232500:186402500
1:186232500:186402500	1:186475000:186970000
1:186475000:186970000	1:192727500:193060000
1:192727500:193060000	1:193110000:194402500
1:193110000:194402500	1:196147500:196733750
1:196147500:196733750	1:197047500:197260000
1:197047500:197260000	1:197370000:197895000
1:197370000:197895000	1:197957500:198475000
1:197957500:198475000	1:198480000:198730000
1:198480000:198730000	1:198735000:199542500
1:198735000:199542500	1:199547500:200042500
1:199547500:200042500	1:200052500:200515000
1:200052500:200515000	1:200560000:200872500
1:200560000:200872500	1:200892500:201197500
1:200892500:201197500	1:202302500:202700000
1:202302500:202700000	1:203507500:203827500
1:203507500:203827500	1:204117500:204372500
1:204117500:204372500	1:204377500:204542500
1:204377500:204542500	1:204547500:204892500
1:204547500:204892500	1:205297500:205520000
1:205297500:205520000	1:205542500:205993750
1:205542500:205993750	1:207012500:207172500
1:207012500:207172500	1:207207500:207765000
1:207207500:207765000	1:207977500:208167500
1:207977500:208167500	1:209712500:209917500
1:209712500:209917500	1:209922500:210035000
1:209922500:210035000	1:210647500:211392500
1:210647500:211392500	1:211417500:211685000
1:211417500:211685000	1:211830000:212177500
1:211830000:212177500	1:212182500:212645000
1:212182500:212645000	1:212650000:213327500
1:212650000:213327500	1:213435000:214360000
1:213435000:214360000	1:214365000:214532500
1:214365000:214532500	1:214912500:215872500
1:214912500:215872500	1:218569375:219817500
1:218569375:219817500	1:220077500:220535000
1:220077500:220535000	1:221447500:222257500
1:221447500:222257500	1:222275000:222655000
1:222275000:222655000	1:222675000:222907500
1:222675000:222907500	1:222912500:223287500
1:222912500:223287500	1:223292500:223882500
1:223292500:223882500	1:223887500:224116250
1:223887500:224116250	1:224662500:224847500
1:224662500:224847500	1:224875000:225465000
1:224875000:225465000	1:226537500:226710000
1:226537500:226710000	1:227156875:227650000
1:227156875:227650000	1:227712500:227916250
1:227712500:227916250	1:227928750:228176875
1:227928750:228176875	1:228302500:228723750
1:228302500:228723750	1:228761250:229382500
1:228761250:229382500	1:229387500:229692500
1:229387500:229692500	1:229772500:230540000
1:229772500:230540000	1:230732500:231437500
1:230732500:231437500	1:231442500:231880000
1:231442500:231880000	1:231905000:232772500
1:231905000:232772500	1:232855000:233425000
1:232855000:233425000	1:233537500:234237500
1:233537500:234237500	1:234242500:234505000
1:234242500:234505000	1:234510000:235272500
1:234510000:235272500	1:235277500:235667500
1:235277500:235667500	1:235672500:236220000
1:235672500:236220000	1:236232500:236797500
1:236232500:236797500	1:236880000:237102500
1:236880000:237102500	1:237785000:239198750
1:237785000:239198750	1:239432500:240175000
1:239432500:240175000	1:241597500:242210000
1:241597500:242210000	1:242470000:243154375
1:242470000:243154375	1:244727500:244947500
1:244727500:244947500	1:244952500:245245000
1:244952500:245245000	1:246197500:246642500
1:246197500:246642500	1:246647500:246982500
1:246647500:246982500	1:248556250:249112500
1:248556250:249112500	10:120000:550000
10:120000:550000	10:830000:1142500
10:830000:1142500	10:3235000:4832500
10:3235000:4832500	10:4837500:5472500
10:4837500:5472500	10:5477500:5692500
10:5477500:5692500	10:5697500:5937500
10:5697500:5937500	10:6455000:6742500
10:6455000:6742500	10:6747500:7553750
10:6747500:7553750	10:7862500:9367500
10:7862500:9367500	10:9372500:10812500
10:9372500:10812500	10:11552500:11885000
10:11552500:11885000	10:12145000:12822500
10:12145000:12822500	10:14237500:14515000
10:14237500:14515000	10:14520000:15040000
10:14520000:15040000	10:16437500:16822500
10:16437500:16822500	10:16827500:17885625
10:16827500:17885625	10:21617500:22252500
10:21617500:22252500	10:22257500:22827500
10:22257500:22827500	10:22832500:23422500
10:22832500:23422500	10:23427500:24060000
10:23427500:24060000	10:24837500:25567500
10:24837500:25567500	10:26520000:26892500
10:26520000:26892500	10:27652500:27957500
10:27652500:27957500	10:27962500:28946250
10:27962500:28946250	10:29760000:30075000
10:29760000:30075000	10:30640000:30910000
10:30640000:30910000	10:30915000:32132500
10:30915000:32132500	10:32137500:32340000
10:32137500:32340000	10:32450000:32647500
10:32450000:32647500	10:33065000:33475000
10:33065000:33475000	10:33637500:35195000
10:33637500:35195000	10:35522500:35947500
10:35522500:35947500	10:35952500:37147500
10:35952500:37147500	10:38180000:39692500
10:38180000:39692500	10:41494375:42607500
10:41494375:42607500	10:42752500:43610000
10:42752500:43610000	10:43977500:44157500
10:43977500:44157500	10:45735000:46375000
10:45735000:46375000	10:48148750:48848750
10:48148750:48848750	10:51735000:52511250
10:51735000:52511250	10:52675000:54085000
10:52675000:54085000	10:56823750:57277500
10:56823750:57277500	10:57597500:58685000
10:57597500:58685000	10:59857500:60217500
10:59857500:60217500	10:60297500:61252500
10:60297500:61252500	10:61332500:61837500
10:61332500:61837500	10:63582500:63780000
10:63582500:63780000	10:63785000:64185000
10:63785000:64185000	10:64215000:64917500
10:64215000:64917500	10:64922500:65585000
10:64922500:65585000	10:65613750:66862500
10:65613750:66862500	10:70697500:70985000
10:70697500:70985000	10:70990000:71177500
10:70990000:71177500	10:71282500:71425000
10:71282500:71425000	10:72262500:72675000
10:72262500:72675000	10:72680000:72995000
10:72680000:72995000	10:73030000:73650000
10:73030000:73650000	10:73787500:74117500
10:73787500:74117500	10:74122500:74837500
10:74122500:74837500	10:75997500:77034375
10:75997500:77034375	10:77043125:78495625
10:77043125:78495625	10:79745000:81052500
10:79745000:81052500	10:82847500:83990000
10:82847500:83990000	10:85837500:85990000
10:85837500:85990000	10:85995000:86360000
10:85995000:86360000	10:86505000:88147500
10:86505000:88147500	10:88152500:88430625
10:88152500:88430625	10:88437500:88962500
10:88437500:88962500	10:89157500:90387500
10:89157500:90387500	10:90422500:90572500
10:90422500:90572500	10:90577500:90682500
10:90577500:90682500	10:90687500:91007500
10:90687500:91007500	10:91012500:91520000
10:91012500:91520000	10:91525000:92595000
10:91525000:92595000	10:92600000:93045000
10:92600000:93045000	10:93050000:93502500
10:93050000:93502500	10:93507500:93787500
10:93507500:93787500	10:93797500:94250000
10:93797500:94250000	10:95127500:95300625
10:95127500:95300625	10:95465000:95697500
10:95465000:95697500	10:95990000:96422500
10:95990000:96422500	10:97137500:97372500
10:97137500:97372500	10:97377500:97650000
10:97377500:97650000	10:97750000:98117500
10:97750000:98117500	10:98812500:99017500
10:98812500:99017500	10:99507500:99645000
10:99507500:99645000	10:99655000:100197500
10:99655000:100197500	10:100207500:100470000
10:100207500:100470000	10:100530000:101122500
10:100530000:101122500	10:101127500:101505000
10:101127500:101505000	10:101542500:101870000
10:101542500:101870000	10:102042500:102302500
10:102042500:102302500	10:102307500:102777500
10:102307500:102777500	10:102865000:103350000
10:102865000:103350000	10:103532500:103860000
10:103532500:103860000	10:103865000:104402500
10:103865000:104402500	10:104580000:105102500
10:104580000:105102500	10:105325000:105627500
10:105325000:105627500	10:111597500:111872500
10:111597500:111872500	10:111877500:112062500
10:111877500:112062500	10:112067500:112370625
10:112067500:112370625	10:112377500:112907500
10:112377500:112907500	10:113392500:113852500
10:113392500:113852500	10:113857500:114202500
10:113857500:114202500	10:114312500:115377500
10:114312500:115377500	10:115417500:115892500
10:115417500:115892500	10:116032500:116942500
10:116032500:116942500	10:118382500:118965000
10:118382500:118965000	10:119167500:120165000
10:119167500:120165000	10:120247500:120775000
10:120247500:120775000	10:120780000:121200000
10:120780000:121200000	10:121500000:121715000
10:121500000:121715000	10:122175000:122457500
10:122175000:122457500	10:122682500:123661875
10:122682500:123661875	10:123955000:124360000
10:123955000:124360000	10:124577500:124777500
10:124577500:124777500	10:125730000:125881250
10:125730000:125881250	10:125903750:126097500
10:125903750:126097500	10:126150000:126647500
10:126150000:126647500	10:127612500:128245000
10:127612500:128245000	10:128724375:129515625
10:128724375:129515625	10:129667500:129800000
10:129667500:129800000	10:129805000:130047500
10:129805000:130047500	10:130757500:132015000
10:130757500:132015000	10:132125000:133693750
10:132125000:133693750	10:133731250:133890000
10:133731250:133890000	11:202500:542500
11:202500:542500	11:1078750:1581875
11:1078750:1581875	11:2042500:2182500
11:2042500:2182500	11:2187500:2438750
11:2187500:2438750	11:2456250:3481875
11:2456250:3481875	11:3545000:4167500
11:3545000:4167500	11:4185000:4662500
11:4185000:4662500	11:5182500:5465000
11:5182500:5465000	11:5527500:5942500
11:5527500:5942500	11:6172500:6377500
11:6172500:6377500	11:6382500:6535000
11:6382500:6535000	11:6540000:6827500
11:6540000:6827500	11:7105000:7460000
11:7105000:7460000	11:7497500:7810625
11:7497500:7810625	11:8172500:8617500
11:8172500:8617500	11:8642500:8910000
11:8642500:8910000	11:8995000:9155000
11:8995000:9155000	11:9160000:9547500
11:9160000:9547500	11:10387500:10767500
11:10387500:10767500	11:10772500:10887500
11:10772500:10887500	11:11037500:11197500
11:11037500:11197500	11:11297500:11807500
11:11297500:11807500	11:11812500:12035000
11:11812500:12035000	11:12057500:12320000
11:12057500:12320000	11:12325000:12975000
11:12325000:12975000	11:13680000:14292500
11:13680000:14292500	11:14297500:14472500
11:14297500:14472500	11:14477500:15282500
11:14477500:15282500	11:15430000:15866250
11:15430000:15866250	11:15957500:16682500
11:15957500:16682500	11:16687500:17032500
11:16687500:17032500	11:17075000:17407500
11:17075000:17407500	11:17422500:17610000
11:17422500:17610000	11:19950000:20132500
11:19950000:20132500	11:20137500:20642500
11:20137500:20642500	11:21075000:22177500
11:21075000:22177500	11:22212500:22995000
11:22212500:22995000	11:27152500:27590000
11:27152500:27590000	11:27655000:28787500
11:27655000:28787500	11:30285000:31062500
11:30285000:31062500	11:31180000:32190000
11:31180000:32190000	11:32530000:32832500
11:32530000:32832500	11:32842500:33122500
11:32842500:33122500	11:33165000:33365000
11:33165000:33365000	11:33380000:33752500
11:33380000:33752500	11:34147500:34532500
11:34147500:34532500	11:34545000:34930000
11:34545000:34930000	11:34935000:35535000
11:34935000:35535000	11:35562500:36302500
11:35562500:36302500	11:36307500:36575000
11:36307500:36575000	11:36580000:36820000
11:36580000:36820000	11:36947500:37488750
11:36947500:37488750	11:44265000:44485000
11:44265000:44485000	11:44537500:44935000
11:44537500:44935000	11:44940000:45120000
11:44940000:45120000	11:45125000:45797500
11:45125000:45797500	11:45802500:46170000
11:45802500:46170000	11:46412500:46720000
11:46412500:46720000	11:46867500:47197500
11:46867500:47197500	11:47892500:48185000
11:47892500:48185000	11:48476875:49253750
11:48476875:49253750	11:51085625:52386250
11:51085625:52386250	11:53988750:56262500
11:53988750:56262500	11:57047500:57417500
11:57047500:57417500	11:57422500:57582500
11:57422500:57582500	11:57660000:58425000
11:57660000:58425000	11:59287500:59477500
11:59287500:59477500	11:59617500:60097500
11:59617500:60097500	11:60102500:60517500
11:60102500:60517500	11:60522500:60983750
11:60522500:60983750	11:61517500:61902500
11:61517500:61902500	11:61907500:62116250
11:61907500:62116250	11:62128125:62335000
11:62128125:62335000	11:62340000:62472500
11:62340000:62472500	11:62662500:62802500
11:62662500:62802500	11:63202500:63532500
11:63202500:63532500	11:63537500:63750000
11:63537500:63750000	11:63760000:63952500
11:63760000:63952500	11:64130000:64447500
11:64130000:64447500	11:64562500:64673750
11:64562500:64673750	11:65409375:65782500
11:65409375:65782500	11:65792500:65975000
11:65792500:65975000	11:66230000:66457500
11:66230000:66457500	11:66462500:66832500
11:66462500:66832500	11:67586250:67992500
11:67586250:67992500	11:68165000:68362500
11:68165000:68362500	11:68367500:68728750
11:68367500:68728750	11:68857500:69506250
11:68857500:69506250	11:70460000:71409375
11:70460000:71409375	11:71454375:71897500
11:71454375:71897500	11:71918125:72170000
11:71918125:72170000	11:72175000:72288750
11:72175000:72288750	11:72408125:72977500
11:72408125:72977500	11:73120000:73440000
11:73120000:73440000	11:73557500:73942500
11:73557500:73942500	11:73955000:74372500
11:73955000:74372500	11:74825000:74985000
11:74825000:74985000	11:75120000:75320000
11:75120000:75320000	11:75590000:75892500
11:75590000:75892500	11:77691875:78310000
11:77691875:78310000	11:78315000:78858125
11:78315000:78858125	11:78887500:79237500
11:78887500:79237500	11:81296250:82387500
11:81296250:82387500	11:82392500:83047500
11:82392500:83047500	11:84310000:85230000
11:84310000:85230000	11:85235000:85567500
11:85235000:85567500	11:85732500:86077500
11:85732500:86077500	11:86187500:86567500
11:86187500:86567500	11:86572500:87052500
11:86572500:87052500	11:87662500:88862500
11:87662500:88862500	11:89750000:91005000
11:89750000:91005000	11:91182500:92705000
11:91182500:92705000	11:93365000:93563750
11:93365000:93563750	11:93571250:94247500
11:93571250:94247500	11:94252500:94647500
11:94252500:94647500	11:94652500:95540000
11:94652500:95540000	11:95622500:96202500
11:95622500:96202500	11:99152500:101175000
11:99152500:101175000	11:101715000:101920000
11:101715000:101920000	11:102100000:102627500
11:102100000:102627500	11:104327500:105510000
11:104327500:105510000	11:106155000:107132500
11:106155000:107132500	11:107145000:107741250
11:107145000:107741250	11:107808750:108260000
11:107808750:108260000	11:108265000:108559375
11:108265000:108559375	11:109922500:110317500
11:109922500:110317500	11:110327500:111135000
11:110327500:111135000	11:111140000:111327500
11:111140000:111327500	11:111377500:111747500
11:111377500:111747500	11:111752500:111990000
11:111752500:111990000	11:112155000:112442500
11:112155000:112442500	11:112447500:113152500
11:112447500:113152500	11:113157500:113602500
11:113157500:113602500	11:113693125:114192500
11:113693125:114192500	11:114197500:114485000
11:114197500:114485000	11:114952500:115500000
11:114952500:115500000	11:115582500:116562500
11:115582500:116562500	11:116567500:117127500
11:116567500:117127500	11:117255000:117630000
11:117255000:117630000	11:117642500:118000000
11:117642500:118000000	11:118227500:118526875
11:118227500:118526875	11:118582500:118908750
11:118582500:118908750	11:119057500:119262500
11:119057500:119262500	11:119277500:119997500
11:119277500:119997500	11:121067500:121550000
11:121067500:121550000	11:121575000:122417500
11:121575000:122417500	11:122422500:122645000
11:122422500:122645000	11:122650000:122750000
11:122650000:122750000	11:122967500:123162500
11:122967500:123162500	11:123438750:123665000
11:123438750:123665000	11:123850000:124282500
11:123850000:124282500	11:124452500:124737500
11:124452500:124737500	11:125757500:126270000
11:125757500:126270000	11:126427500:126912500
11:126427500:126912500	11:127825000:128857500
11:127825000:128857500	11:128927500:129242500
11:128927500:129242500	11:129247500:129570000
11:129247500:129570000	11:129637500:130062500
11:129637500:130062500	11:130067500:130282500
11:130067500:130282500	11:130297500:130840000
11:130297500:130840000	11:131135000:133002500
11:131135000:133002500	11:133727500:134040000
11:133727500:134040000	11:134052500:134302500
11:134052500:134302500	12:282500:662500
12:282500:662500	12:1200000:1737500
12:1200000:1737500	12:1742500:1910000
12:1742500:1910000	12:1915000:2188125
12:1915000:2188125	12:2202500:2745000
12:2202500:2745000	12:2760000:3135000
12:2760000:3135000	12:3358750:3702500
12:3358750:3702500	12:3730000:3930000
12:3730000:3930000	12:3935000:4450000
12:3935000:4450000	12:4460000:4888125
12:4460000:4888125	12:5165000:6067500
12:5165000:6067500	12:6157500:6407500
12:6157500:6407500	12:6412500:6677500
12:6412500:6677500	12:6706875:6972500
12:6706875:6972500	12:6992500:7310000
12:6992500:7310000	12:7345000:7998750
12:7345000:7998750	12:8441250:9047500
12:8441250:9047500	12:9052500:9227500
12:9052500:9227500	12:9460000:9566250
12:9460000:9566250	12:9588750:9887500
12:9588750:9887500	12:9957500:10113750
12:9957500:10113750	12:10121250:10362500
12:10121250:10362500	12:10367500:10912500
12:10367500:10912500	12:10917500:11395000
12:10917500:11395000	12:11450000:11655000
12:11450000:11655000	12:12497500:12957500
12:12497500:12957500	12:13000000:13420000
12:13000000:13420000	12:13490000:14320000
12:13490000:14320000	12:14325000:14857500
12:14325000:14857500	12:14862500:15187500
12:14862500:15187500	12:15207500:15417500
12:15207500:15417500	12:15427500:15747500
12:15427500:15747500	12:15797500:16215000
12:15797500:16215000	12:17580000:17768750
12:17580000:17768750	12:17910000:18042500
12:17910000:18042500	12:18217500:19067500
12:18217500:19067500	12:21847500:22183750
12:21847500:22183750	12:22191250:22892500
12:22191250:22892500	12:24312500:24937500
12:24312500:24937500	12:25117500:25310000
12:25117500:25310000	12:25327500:25568750
12:25327500:25568750	12:25576250:26202500
12:25576250:26202500	12:26962500:27562500
12:26962500:27562500	12:27567500:27870000
12:27567500:27870000	12:28050000:29135000
12:28050000:29135000	12:29180000:29575000
12:29180000:29575000	12:29869375:30760000
12:29869375:30760000	12:31732500:32217500
12:31732500:32217500	12:32222500:32555000
12:32222500:32555000	12:32565000:32937500
12:32565000:32937500	12:37175000:39650000
12:37175000:39650000	12:39655000:40125000
12:39655000:40125000	12:40142500:40617500
12:40142500:40617500	12:42476250:42917500
12:42476250:42917500	12:43052500:43812500
12:43052500:43812500	12:44100000:44315000
12:44100000:44315000	12:44327500:44852500
12:44327500:44852500	12:44857500:45157500
12:44857500:45157500	12:45177500:45490000
12:45177500:45490000	12:45495000:45807500
12:45495000:45807500	12:45907500:46367500
12:45907500:46367500	12:46377500:46710000
12:46377500:46710000	12:46742500:47107500
12:46742500:47107500	12:47131875:47397500
12:47131875:47397500	12:47402500:48092500
12:47402500:48092500	12:48097500:48247500
12:48097500:48247500	12:48597500:49167500
12:48597500:49167500	12:49220000:49447500
12:49220000:49447500	12:49645000:50017500
12:49645000:50017500	12:50480000:50600000
12:50480000:50600000	12:50822500:51147500
12:50822500:51147500	12:51152500:51412500
12:51152500:51412500	12:51417500:51802500
12:51417500:51802500	12:51961250:52296250
12:51961250:52296250	12:52502500:52950000
12:52502500:52950000	12:52955000:53397500
12:52955000:53397500	12:53937500:54080000
12:53937500:54080000	12:54310000:54617500
12:54310000:54617500	12:54622500:54977500
12:54622500:54977500	12:54982500:55572500
12:54982500:55572500	12:55577500:56060000
12:55577500:56060000	12:56065000:56877500
12:56065000:56877500	12:56882500:57132500
12:56882500:57132500	12:57137500:57660000
12:57137500:57660000	12:57855000:58152500
12:57855000:58152500	12:58157500:58342500
12:58157500:58342500	12:58347500:59335000
12:58347500:59335000	12:59712500:60320000
12:59712500:60320000	12:60540000:62422500
12:60540000:62422500	12:62615000:63252500
12:62615000:63252500	12:64060000:64672500
12:64060000:64672500	12:64787500:65207500
12:64787500:65207500	12:65227500:65700000
12:65227500:65700000	12:65850000:66492500
12:65850000:66492500	12:66497500:66887500
12:66497500:66887500	12:67070000:67277500
12:67070000:67277500	12:67287500:67535000
12:67287500:67535000	12:67637500:68417500
12:67637500:68417500	12:68422500:68727500
12:68422500:68727500	12:68732500:69230000
12:68732500:69230000	12:69235000:69480000
12:69235000:69480000	12:69485000:69672500
12:69485000:69672500	12:69677500:70157500
12:69677500:70157500	12:70162500:71165000
12:70162500:71165000	12:71347500:71747500
12:71347500:71747500	12:71752500:71947500
12:71752500:71947500	12:71952500:72155000
12:71952500:72155000	12:72160000:72347500
12:72160000:72347500	12:72780000:73252500
12:72780000:73252500	12:75042500:75685000
12:75042500:75685000	12:75697500:75892500
12:75697500:75892500	12:75912500:76450000
12:75912500:76450000	12:76732500:77002500
12:76732500:77002500	12:77007500:77495000
12:77007500:77495000	12:80860000:81648125
12:80860000:81648125	12:81890000:82690000
12:81890000:82690000	12:88615000:89347500
12:88615000:89347500	12:89352500:89927500
12:89352500:89927500	12:89932500:90672500
